Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Training time (hours),Training time notes,Training hardware,Hardware quantity,Compute cost notes,Compute sponsor categorization,Abstract,Model accessibility,Hardware utilization,Confidence,Country (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Batch size,Batch size notes,Organization categorization,Training code accessibility,Accessibility notes,Organization categorization (from Organization),Possibly over 1e23 FLOP,Frontier model,Training power draw (W),Training compute estimation method
MassiveFold,Biology,Protein folding prediction,"Université de Lille,Linköping University,Universite de Technologie de Compiègne – CNRS","Nessim Raouraoua, Claudio Mirabello, Thibaut Véry, Christophe Blanchet, Bjorn Wallner, Marc Lensink, Guillaume Brysbaert",2024-11-11,MassiveFold: unveiling AlphaFold’s hidden potential with optimized and parallelized massive sampling,https://www.researchsquare.com/article/rs-4319486/v1,,,,,,,,,,,,,,,,,,,"Massive sampling in AlphaFold enables access to increased structural diversity; in combination with its powerful confidence ranking, this unlocks elevated modeling capabilities for monomeric structures and foremost for protein assemblies. However, the approach struggles with GPU cost and data storage. MassiveFold removes these restraints as an optimized and customizable version of AlphaFold that runs predictions in parallel, offering the full benefit of enhanced sampling for protein structure and assembly modeling.",,,Unverified,"France,Sweden,France",,,,,,"Academia,Academia,Academia",,,"Academia,Academia,Academia",,,,
NeoaPred,Biology,Immunogenic Neoantigen Prediction,"South China University of Technology,Jinan University","Dawei Jiang, Binbin Xi, Wenchong Tan, Zixi Chen, Jinfen Wei, Meiling Hu, Xiaoyun Lu, Dong Chen, Hongmin Cai, Hongli Du",2024-09-14,NeoaPred: A deep-learning framework for predicting immunogenic neoantigen based on surface and structural features of peptide-HLA complexes,https://academic.oup.com/bioinformatics/article/40/9/btae547/7758065,,,,,,,,,,39001,"PDB structures: 1,018 × 0.90 = 916
Self-distillation: 7,860
PepConf total: 916 + 7,860 = 8,776 ≈ 8.8 × 10³

PepFore samples: 32,962 × 0.90 = 29,666 ≈ 2.97 × 10⁴

Final total: 8.8 × 10³ + 2.97 × 10⁴ = 3.85 × 10⁴ ≈ 3.9 × 10⁴ datapoints",,,,,,,,"Motivation
Neoantigens, derived from somatic mutations in cancer cells, can elicit anti-tumor immune responses when presented to autologous T cells by human leukocyte antigen. Identifying immunogenic neoantigens is crucial for cancer immunotherapy development. However, the accuracy of current bioinformatic methods remains unsatisfactory. Surface and structural features of peptide–HLA class I (pHLA-I) complexes offer valuable insight into the immunogenicity of neoantigens.

Results
We present NeoaPred, a deep-learning framework for neoantigen prediction. NeoaPred accurately constructs pHLA-I complex structures, with 82.37% of the predicted structures showing an RMSD of < 1 Å. Using these structures, NeoaPred integrates differences in surface, structural, and atom group features between the mutant peptide and its wild-type counterpart to predict a foreignness score. This foreignness score is an effective factor for neoantigen prediction, achieving an AUROC (Area Under the Receiver Operating Characteristic Curve) of 0.81 and an AUPRC (Area Under the Precision-Recall Curve) of 0.54 in the test set, outperforming existing methods.

Availability and implementation
The source code is released under an Apache v2.0 license and is available at the GitHub repository (https://github.com/Dulab2020/NeoaPred).",,,Unverified,"China,China",,,,,,"Academia,Academia",,,"Academia,Academia",,,,
ConfRank,Biology,Drug discovery,"University of Bonn,Institute for Numerical Simulation,Fraunhofer Institute for Algorithms and Scientific Computing","Christian Hölzer, Rick Oerderm, Stefan Grimme, Jan Hamaekers,",2024-11-24,ConfRank: Improving GFN-FF Conformer Ranking with Pairwise Training,https://pubs.acs.org/doi/abs/10.1021/acs.jcim.4c01524,,,,,,,,,,1400001,"7,349 molecular ensembles × 20 conformers = 146,980 conformers
Pairs per ensemble = (20 × 19) ÷ 2 = 190 pairs
Total pairs = 7,349 ensembles × 190 pairs = 1,396,310 datapoints",,,,,,,,"Conformer ranking is a crucial task for drug discovery, with methods for generating conformers often based on molecular (meta)dynamics or sophisticated sampling techniques. These methods are constrained by the underlying force computation regarding runtime and energy ranking accuracy, limiting their effectiveness for large-scale screening applications. To address these ranking limitations, we introduce ConfRank, a machine learning-based approach that enhances conformer ranking using pairwise training. We demonstrate its performance using GFN-FF-generated conformer ensembles, leveraging the DimeNet++ architecture trained on pairs of 159 760 uncharged organic compounds from the GEOM data set with r2SCAN-3c reference level. Instead of predicting only on single molecules, this approach captures relative energy differences between conformers, leading to a significant improvement of the overall conformational ranking, outperforming GFN-FF and GFN2-xTB. Thereby, the pairwise RMSD of the relative energy difference of two conformers can be reduced from 5.65 to 0.71 kcal mol–1 on the test data set, allowing to correctly identify up to 81% of all lowest lying conformers correctly (GFN-FF: 10%, GFN2-xTB: 47%). The ConfRank approach is cost-effective, allowing for scalable deployment on both CPU and GPU, achieving runtime accelerations by up to 2 orders of magnitude compared to GFN2-xTB. Out-of-sample investigations on CREST-generated conformer ensembles from the QM9 data set and conformers taken from an extended GMTKN55 data set show promising results for the robustness of this approach. Thereby, ranking correlation coefficient such as Spearman can be improved to 0.90 (GFN-FF: 0.39, GFN2-xTB: 0.84) reducing the probability of an incorrect sign flip in pairwise energy comparison from 32 to 7%. On the extended GMTKN55 subsets the pairwise MAD (RMSD) could be reduced on almost all subsets by up to 62% (58%) with an average improvement of 30% (29%). Moreover, an exemplary case study on vancomycin shows similar performance, indicating applicability to larger (bio)molecular structures. Furthermore, we motivate the usage of the pairwise training approach from a theoretical perspective, highlighting that while pairwise training can lead to a decline in single sample prediction of absolute energies for ML models, it significantly enhances conformer ranking performance. The data and models used in this study are available at https://github.com/grimme-lab/confrank.",,,Unverified,"Germany,Germany,Germany",,,,,,Academia,,,Academia,,,,
DeepRelax,Biology,Protein folding prediction,"National University of Singapore,Sun Yat-sen University,Peking University,China Medical University Hospital,Asia university,Guangdong L-Med Biotechnology Company","Ziduo Yang, Yi-Ming Zhao, Xian Wang, Xiaoqing Liu, Xiuying Zhang, Yifan Li, Qiujie Lv, Calvin Yu-Chian Chen & Lei Shen",2024-09-17,Scalable crystal structure relaxation using an iteration-free deep generative model with uncertainty quantification,https://www.nature.com/articles/s41467-024-52378-3,,,,,,,,,,,,,,,,,,,"In computational molecular and materials science, determining equilibrium structures is the crucial first step for accurate subsequent property calculations. However, the recent discovery of millions of new crystals and super large twisted structures has challenged traditional computational methods, both ab initio and machine-learning-based, due to their computationally intensive iterative processes. To address these scalability issues, here we introduce DeepRelax, a deep generative model capable of performing geometric crystal structure relaxation rapidly and without iterations. DeepRelax learns the equilibrium structural distribution, enabling it to predict relaxed structures directly from their unrelaxed ones. The ability to perform structural relaxation at the millisecond level per structure, combined with the scalability of parallel processing, makes DeepRelax particularly useful for large-scale virtual screening. We demonstrate DeepRelax’s reliability and robustness by applying it to five diverse databases, including oxides, Materials Project, two-dimensional materials, van der Waals crystals, and crystals with point defects. DeepRelax consistently shows high accuracy and efficiency, validated by density functional theory calculations. Finally, we enhance its trustworthiness by integrating uncertainty quantification. This work significantly accelerates computational workflows, offering a robust and trustworthy machine-learning method for material discovery and advancing the application of AI for science.

",,,Unverified,"Singapore,China,China,China,Taiwan,China",,,,,,"Academia,Academia,Academia,Academia,Industry",,,"Academia,Academia,Academia,Academia,Industry",,,,
GraphEC,Biology,Enzyme function prediction,"Sun Yat-sen University,National Supercomputing Center in Shenzhen,Chongqing University,Key Laboratory of Machine Intelligence and Advanced Computing","Yidong Song, Qianmu Yuan, Sheng Chen, Yuansong Zeng, Huiying Zhao, Yuedong Yang",2024-09-18,Accurately predicting enzyme functions through geometric graph learning on ESMFold-predicted structures,https://www.nature.com/articles/s41467-024-52533-w,,,,,,,,,,78001,"588 + 74,487 + 3,297 = 78,372 ≈ 7.8e4 datapoints

GraphEC training data from:
- Active Site: 588
- EC Number: 74,487
- Optimum pH: 3,297",,,,,,,,"Enzymes are crucial in numerous biological processes, with the Enzyme Commission (EC) number being a commonly used method for defining enzyme function. However, current EC number prediction technologies have not fully recognized the importance of enzyme active sites and structural characteristics. Here, we propose GraphEC, a geometric graph learning-based EC number predictor using the ESMFold-predicted structures and a pretrained protein language model. Specifically, we first construct a model to predict the enzyme active sites, which is utilized to predict the EC number. The prediction is further improved through a label diffusion algorithm by incorporating homology information. In parallel, the optimum pH of enzymes is predicted to reflect the enzyme-catalyzed reactions. Experiments demonstrate the superior performance of our model in predicting active sites, EC numbers, and optimum pH compared to other state-of-the-art methods. Additional analysis reveals that GraphEC is capable of extracting functional information from protein structures, emphasizing the effectiveness of geometric graph learning. This technology can be used to identify unannotated enzyme functions, as well as to predict their active sites and optimum pH, with the potential to advance research in synthetic biology, genomics, and other fields.",,,Unverified,"China,China,China,China",,,,,,"Academia,Government,Academia",,,"Academia,Government,Academia",,,,
DeepUrfold,Biology,Protein folding prediction,University of Virginia,"Eli J. Draizen, Stella Veretnik, Cameron Mura, Philip E. Bourne ",2024-09-16,Deep generative models of protein structure uncover distant relationships across a continuous fold space,https://www.nature.com/articles/s41467-024-52020-2,,,,110000000.00,"""Our final network has ≈ 110M parameters in total and all of the SF-level networks were trained for 30 epochs, using a batch size of 255""",,,,,,,,,,NVIDIA RTX A6000,,,,"Our views of fold space implicitly rest upon many assumptions that impact how we analyze, interpret and understand protein structure, function and evolution. For instance, is there an optimal granularity in viewing protein structural similarities (e.g., architecture, topology or some other level)? Similarly, the discrete/continuous dichotomy of fold space is central, but remains unresolved. Discrete views of fold space bin similar folds into distinct, nonoverlapping groups; unfortunately, such binning can miss remote relationships. While hierarchical systems like CATH are indispensable resources, less heuristic and more conceptually flexible approaches could enable more nuanced explorations of fold space. Building upon an Urfold model of protein structure, here we present a deep generative modeling framework, termed DeepUrfold, for analyzing protein relationships at scale. DeepUrfold’s learned embeddings occupy high-dimensional latent spaces that can be distilled for a given protein in terms of an amalgamated representation uniting sequence, structure and biophysical properties. This approach is structure-guided, versus being purely structure-based, and DeepUrfold learns representations that, in a sense, define superfamilies. Deploying DeepUrfold with CATH reveals evolutionarily-remote relationships that evade existing methodologies, and suggests a mostly-continuous view of fold space—a view that extends beyond simple geometric similarity, towards the realm of integrated sequence ↔ structure ↔ function properties.",,,Unverified,United States of America,,,,,,Academia,,,Academia,,,,
pKALM,Biology,Protein property prediction,Hokkaido University,"Shijie Xu,  Akira Onoda",2024-09-19,Accurate and Rapid Prediction of Protein pKa: Protein Language Models Reveal the Sequence-pKa Relationship,https://www.biorxiv.org/content/10.1101/2024.09.16.613101v1.abstract,,,,5083905.00,Loaded checkpoint and counted parameters.,6800000000000.00,"5083905 connections, 1712 training examples, 130 epochs.",,,1712,"""The revised data set now includes 1,450  pKa values for 165 wild-type proteins and 262 pKa values for 47 mutant proteins."" 1712 is sum of values.",130.00,,,NVIDIA GeForce RTX 3090 Ti,2,,,"Protein pKa prediction is a key challenge in computational biology. In this study, we present pKALM, a novel deep learning-based method for high-throughput protein pKa prediction. pKALM uses a protein language model (PLM) to capture the complex sequence-structure relationship of proteins. While traditionally considered a structure-based problem, our results show that a PLM pre-trained on large-scale protein sequence databases can effectively learn this relationship and achieve state-of-the-art performance. pKALM accurately predicts the pKa values of six residues (Asp, Glu, His, Lys, Cys, and Tyr) and two termini with high precision and efficiency. It excels at predicting both exposed and buried residues, which often deviate from standard pKa values measured in solvent. We demonstrate a novel finding that predicted protein isoelectric points (pI) can be used to improve the accuracy of pKa prediction. High-throughput pKa prediction of the human proteome using pKALM achieves a speed of 4,965 pKa predictions per second, which is several orders of magnitude faster than existing state-of-the-art methods. The case studies illustrate the efficacy of pKALM in estimating pKa values and the constraints of the method. pKALM will thus be a valuable tool for researchers in the fields of biochemistry, biophysics, and drug design.",,,Unverified,Japan,,,,,,Academia,,,Academia,,,1982.775977443404,Operation counting
GeoSeqBuilder,Biology,Protein design,Peking University,"Jiale Liu, Zheng Guo, Hantian You, Changsheng Zhang, Luhua Lai",2024-09-19,All-Atom Protein Sequence Design Based on Geometric Deep Learning,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.202411461?casa_token=oCX9uTFcpvQAAAAA%3AiGc_jXpH-dzeUXL0LgRnySqIJorSnOaPwaPGpjf8PbI9etcMdXXoXzwrEOX-wrQdbRsjcAEkQO0C6w,1.00,,,,,6480000000000066000.00,"1. Hardware: 1x NVIDIA A30 GPU (1.50×10¹⁴ FLOP/s using fp16 tensor cores)

2. Training duration: Directly provided - 15 epochs × 2 hours/epoch = 30 hours = 108,000 seconds

3. Utilization rate: 40%

4. Calculation:
   1.50×10¹⁴ FLOP/s × 1 GPU × 108,000s × 0.40 = 6.48×10¹⁸ FLOP",,,4700001,"Training datapoints = Training proteins × Average residues per protein
23,500 × 200 = 4,700,000 datapoints

Final estimate: 4.7 million datapoints",,,,,,,,"Designing sequences for specific protein backbones is a key step in creating new functional proteins. Here, we introduce GeoSeqBuilder, a deep learning framework that integrates protein sequence generation with side chain conformation prediction to produce the complete all-atom structures for designed sequences. GeoSeqBuilder uses spatial geometric features from protein backbones and explicitly includes three-body interactions of neighboring residues. GeoSeqBuilder achieves native residue type recovery rate of 51.6 %, comparable to ProteinMPNN and other leading methods, while accurately predicting side chain conformations. We first used GeoSeqBuilder to design sequences for thioredoxin and a hallucinated three-helical bundle protein. All the 15 tested sequences expressed as soluble monomeric proteins with high thermal stability, and the 2 high-resolution crystal structures solved closely match the designed models. The generated protein sequences exhibit low similarity (minimum 23 %) to the original sequences, with significantly altered hydrophobic cores. We further redesigned the hydrophobic core of glutathione peroxidase 4, and 3 of the 5 designs showed improved enzyme activity. Although further testing is needed, the high experimental success rate in our testing demonstrates that GeoSeqBuilder is a powerful tool for designing novel sequences for predefined protein structures with atomic details. GeoSeqBuilder is available at https://github.com/PKUliujl/GeoSeqBuilder.",,,Unverified,China,,,,,,Academia,,,Academia,,,,Hardware
McMLP,Biology,Human physiology,"Harvard Medical School,University of Illinois Urbana-Champaign (UIUC),Harvard TH Chan School of Public Health","Tong Wang, Hannah D Holscher, Sergei Maslov, Frank B Hu, Scott T Weiss, Yang-Yu Liu",2024-09-19,Predicting metabolite response to dietary intervention using deep learning,https://pmc.ncbi.nlm.nih.gov/articles/PMC10054958/,,,,,"""Model detail: Each MLP model (for either the top or the bottom MLP in Supplementary Fig. 1) has 6 hidden layers in the middle, sandwiched by input and output variables. Each hidden layer has a fixed hidden layer dimension of 2048.""",,,,,333,"Training data points calculation:
Synthetic: 250 * 0.8 = 200 points
Avocado study: 132 points
Total = 200 + 132 = 332 points (3.32e2)",,,,,,,,"Due to highly personalized biological and lifestyle characteristics, different individuals may have different metabolite responses to specific foods and nutrients. In particular, the gut microbiota, a collection of trillions of microorganisms living in the gastrointestinal tract, is highly personalized and plays a key role in the metabolite responses to foods and nutrients. Accurately predicting metabolite responses to dietary interventions based on individuals’ gut microbial compositions holds great promise for precision nutrition. Existing prediction methods are typically limited to traditional machine learning models. Deep learning methods dedicated to such tasks are still lacking. Here we develop a method McMLP (Metabolite response predictor using coupled Multilayer Perceptrons) to fill in this gap. We provide clear evidence that McMLP outperforms existing methods on both synthetic data generated by the microbial consumer-resource model and real data obtained from six dietary intervention studies. Furthermore, we perform sensitivity analysis of McMLP to infer the tripartite food-microbe-metabolite interactions, which are then validated using the ground-truth (or literature evidence) for synthetic (or real) data, respectively. The presented tool has the potential to inform the design of microbiota-based personalized dietary strategies to achieve precision nutrition.",,,Unverified,"United States of America,United States of America,United States of America",,,,,,"Academia,Academia,Academia",,,"Academia,Academia,Academia",,,,
IgGM,Biology,Protein design,"Chinese Academy of Sciences,University of Chinese Academy of Sciences,Tencent","Rubo Wang, Fandi Wu, Xingyu Gao, Jiaxiang Wu, Peilin Zhao, Jianhua Yao",2024-09-22,IgGM: A Generative Model for Functional Antibody and Nanobody Design,https://www.biorxiv.org/content/10.1101/2024.09.19.613838v1.abstract,,,,,,859999999999997600000.00,"1. Hardware setup: 8x NVIDIA A100 SXM4 80GB GPUs, 3.12e14 FLOP/s per GPU

2. Training duration: Directly provided as 10 days = 864,000 seconds

3. Utilization rate: 40%

4. Final calculation:
3.12e14 FLOP/s × 864,000s × 0.4 × 8 GPUs = 8.6e20 FLOPs",,,9200001,"Complexes: 6,448 + 1,907 = 8,355
Amino acids per complex: 450 + 350 + 300 = 1,100
Total amino acids: 8,355 * 1,100 = 9,190,500",,,,,,,,"Immunoglobulins are crucial proteins produced by the immune system to identify and bind to foreign substances, playing an essential role in shielding organisms from infections and diseases. Designing specific antibodies opens new pathways for disease treatment. With the rise of deep learning, AI-driven drug design has become possible, leading to several methods for antibody design. However, many of these approaches require additional conditions that differ from real-world scenarios, making it challenging to incorporate them into existing antibody design processes. Here, we introduce IgGM, generative model that combines a diffusion model and the consistency model for generating antibodies with functional specificity. IgGM produces antibody sequences and structures simultaneously for a given antigen, consisting of three core components: a pre-trained language model for extracting sequence features, a feature learning module for identifying pertinent features, and a prediction module that outputs designed antibody sequences and the predicted complete antibody-antigen complex structure. IgGM has shown effectiveness in both predicting structures and designing novel antibodies and nanobodies, making it relevant in various practical scenarios of antibody and nanobody design.",,,Unverified,"China,China,China",,,,,,"Academia,Academia,Industry",,,"Academia,Academia,Industry",,,,Hardware
ProtENN2,Biology,Protein classification,"European Bioinformatics Institute,University of Cambridge,Google Research","Irina Ponamareva, Antonina Andreeva, Maxwell L Bileschi, Lucy Colwell, Alex Bateman",2024-09-18,Investigation of protein family relationships with deep learning,https://academic.oup.com/bioinformaticsadvances/article/4/1/vbae132/7760237,,,,,,,,,,23910000001,"Total datapoints = 23,910,108,270 residues
= 2.391 × 10¹⁰

Calculation: Single value from training database, no additions or multiplications needed.",,,,,,,,"Motivation
In this article, we propose a method for finding similarities between Pfam families based on the pre-trained neural network ProtENN2. We use the model ProtENN2 per-residue embeddings to produce new high-dimensional per-family embeddings and develop an approach for calculating inter-family similarity scores based on these embeddings, and evaluate its predictions using structure comparison.

Results
We apply our method to Pfam annotation by refining clan membership for Pfam families, suggesting both new members of existing clans and potential new clans for future Pfam releases. We investigate some of the failure modes of our approach, which suggests directions for future improvements. Our method is relatively simple with few parameters and could be applied to other protein family classification models. Overall, our work suggests potential benefits of employing deep learning for improving our understanding of protein family relationships and functions of previously uncharacterized families.

Availability and implementation
github.com/iponamareva/ProtCNNSim, 10.5281/zenodo.10091909.",,,Unverified,"Multinational,United Kingdom of Great Britain and Northern Ireland,Multinational,United States of America",,,,,,"Research collective,Academia,Industry",,,"Research collective,Academia,Industry",,,,
ExSelfRL,Biology,Drug discovery,Soochow University,"Jing Wang, Fei Zhu",2024-09-20,ExSelfRL: An exploration-inspired self-supervised reinforcement learning approach to molecular generation,https://www.sciencedirect.com/science/article/pii/S0957417424022772,,,,,,,,,,,,,,,,,,,"Efficiently searching for novel molecules with specific properties is critical to molecular generation. Some existing works focus on combining deep generative models and reinforcement learning to generate molecules with targeted properties, but there is still the problem of reduced model effectiveness due to sparse rewards. To address the problem, an exploration-inspired self-supervised reinforcement learning (ExSelfRL) method for molecular generation is proposed. By constructing an exploration-inspired reward-shaping framework, ExSelfRL can effectively mine the intrinsic rewards in the molecule generation process based on novelty. Then, driven by intrinsic and primitive sparse rewards, ExSelfRL establishes a self-supervised reinforcement learning agent capable of exploring a broader chemical space to find molecules with better properties. In addition, a dominant set of molecules is defined from the sampled molecules that can further improve their property scores. The experimental results illustrate that ExSelfRL can generate molecules with higher property scores than existing methods.",,,Unverified,Taiwan,,,,,,Academia,,,Academia,,,,
TAWFN,Biology,Protein function prediction,Northeastern University (China),"Lu Meng, Xiaoran Wang",2024-09-23,TAWFN: A Deep Learning Framework for Protein Function Prediction,https://academic.oup.com/bioinformatics/article/40/10/btae571/7766190,,,,,,3500000000000028700.00,"1. Hardware setup: 1x NVIDIA GeForce RTX 3090 (1.60 x 10^14 FLOPs/s per GPU)

2. Training duration: Estimated
   * 71,000 samples, batch size 64 → 1,100 batches/epoch
   * 0.5s/batch → 9 min/epoch
   * 100 epochs → 15 hours (54,000 seconds)

3. Utilization rate: 40%

4. Final calculation:
   1.60 x 10^14 FLOPs/s × 1 GPU × 54,000s × 0.4 = 3.456 x 10^18 FLOPs",,,72001,"PDBset Training = 36,629 * 0.8 = 29,303
AFset Training = 42,427
Total = 29,303 + 42,427 = 71,730",,,,NVIDIA GeForce RTX 3090,1,,,"Motivation
Proteins play pivotal roles in biological systems, and precise prediction of their functions is indispensable for practical applications. Despite the surge in protein sequence data facilitated by high-throughput techniques, unraveling the exact functionalities of proteins still demands considerable time and resources. Currently, numerous methods rely on protein sequences for prediction, while methods targeting protein structures are scarce, often employing convolutional neural networks (CNN) or graph convolutional networks (GCNs) individually.

Results
To address these challenges, our approach starts from protein structures and proposes a method that combines CNN and GCN into a unified framework called the two-model adaptive weight fusion network (TAWFN) for protein function prediction. First, amino acid contact maps and sequences are extracted from the protein structure. Then, the sequence is used to generate one-hot encoded features and deep semantic features. These features, along with the constructed graph, are fed into the adaptive graph convolutional networks (AGCN) module and the multi-layer convolutional neural network (MCNN) module as needed, resulting in preliminary classification outcomes. Finally, the preliminary classification results are inputted into the adaptive weight computation network, where adaptive weights are calculated to fuse the initial predictions from both networks, yielding the final prediction result. To evaluate the effectiveness of our method, experiments were conducted on the PDBset and AFset datasets. For molecular function, biological process, and cellular component tasks, TAWFN achieved area under the precision-recall curve (AUPR) values of 0.718, 0.385, and 0.488 respectively, with corresponding Fmax scores of 0.762, 0.628, and 0.693, and Smin scores of 0.326, 0.483, and 0.454. The experimental results demonstrate that TAWFN exhibits promising performance, outperforming existing methods.

Availability and implementation
The TAWFN source code can be found at: https://github.com/ss0830/TAWFN.",,,Unverified,China,,,,,,Academia,,,Academia,,,771.0511997557896,Hardware
DrugTar,Biology,"Protein property prediction,Drug discovery",Isfahan University of Technology,"Niloofar Borhani, Iman Izadi,  View ORCID ProfileAli Motahharynia, Mahsa Sheikholeslami, Yousof Gheisari",2024-09-24,DrugTar Improves Druggability Prediction by Integrating Large Language Models and Gene Ontologies,https://www.biorxiv.org/content/10.1101/2024.09.21.614218v1.abstract,,,,,,,,,,6317,"ProTar-I: 2,248 proteins
ProTar-II: 4,068 proteins
Final total: 2,248 + 4,068 = 6,316 proteins",,,,,,,,"Target discovery is crucial in drug development, especially for complex chronic diseases. Recent advances in high-throughput technologies and the explosion of biomedical data have highlighted the potential of computational druggability prediction methods. However, most current methods rely on sequence-based features with machine learning, which often face challenges related to hand-crafted features, reproducibility, and accessibility. Moreover, the potential of raw sequence and protein structure has not been fully investigated. Here, we leveraged both protein sequence and structure using deep learning techniques, revealing that protein sequence, especially pre- trained embeddings, is more informative than protein structure. Next, we developed DrugTar, a highl7lperformance deep learning algorithm integrating sequence embeddings from the ESM-2 pre-trained protein language model with protein ontologies to predict druggability. DrugTar achieved areas under the curve and precision-recall curve values above 0.90, outperforming state-of-the-art methods. In conclusion, DrugTar streamlines target discovery as a bottleneck in developing novel therapeutics.",,,Unverified,Iran (Islamic Republic of),,,,,,Academia,,,Academia,,,,
Designing of thermostable proteins with a desired melting temperature,Biology,Protein design,"""Indraprastha Institute of Information Technology
Delhi""","Purva Tijare, Nishant Kumar, Gajendra P. S. Raghava",2024-09-24,Designing of thermostable proteins with a desired melting temperature,https://www.biorxiv.org/content/10.1101/2024.09.21.614294v1.abstract,,,,738000000.00,"""This model comprises 36  layers and has a dimensionality of 1280, amounting to a total of 738 million parameters [28].""",61000000000000.00,738M connections with 13849 training examples for one (assumed) epoch using calculator.,,,13849,"""Training Dataset 13849 sequences"" in Figure 1",,,,,,,,"The stability of proteins at higher temperatures is crucial for its functionality that is measured by their melting temperature (Tm). The Tm is the temperature at which 50% of the protein loses its native structure and activity. Existing methods for predicting Tm have two major limitations: first, they are often trained on redundant proteins, and second, they do not allow users to design proteins with the desired Tm. To address these limitations, we developed a regression method for predicting the Tm value of proteins using 17,312 non-redundant proteins, where no two proteins are more than 40% similar. We used 80% of the data for training and testing; remaining 20% of the data for validation. Initially, we developed a machine learning model using standard features from protein sequences. Our best model, developed using Shannon entropy for all residues, achieved the highest Pearson correlation of 0.80 with an R² of 0.63 between the predicted and actual Tm of proteins on the validation dataset. Next, we fine-tuned large language models (e.g., ProtBert, ProtGPT2, ProtT5) on our training dataset and generated embeddings. These embeddings have been used for developing machine learning models. Our best model, developed using ProtBert embeddings, achieved a maximum correlation of 0.89 with an R² of 0.80 on the validation dataset. Finally, we developed an ensemble method that combines standard protein features and embeddings. One of the aims of the study is to assist the scientific community in the design of targeted melting temperatures. We created a user-friendly web server and a python package for predicting and designing thermostable proteins. Our standalone software can be used to screen thermostable proteins in genomes and metagenomes. We demonstrated the application of PPTstab in identifying thermostable proteins in different organisms from their genomes, the model and data is available at: https://webs.iiitd.edu.in/raghava/pptstab.",,,Unverified,India,,,,,,Academia,,,Academia,,,,Operation counting
ProTeM,Biology,Protein function prediction,"Zhejiang Lab,Zhejiang University,Huazhong University of Science and Technology,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI)","Ming Qin, Xun Li, Yuhao Wang, Zhenping Li, Hongbin Ye, Zongbing Wang, Weihao Gao, Shangsong Liang, Qiang Zhang, Keyan Ding ",2024-09-17,ProTeM: Unifying Protein Function Prediction via Text Matching,https://link.springer.com/chapter/10.1007/978-3-031-72353-7_10,,,,,,,,,,363000001,"Bio-LLM: 2,000,000 documents × 100 tokens = 2.0 × 10^8 tokens
ProTeM: 467,277 pairs × (50 text + 300 protein) tokens = 1.63 × 10^8 tokens
Total: 2.0 × 10^8 + 1.63 × 10^8 = 3.63 × 10^8 tokens",,,,,,,,"The exponential availability of protein sequences has led to the dominance of the pretraining-then-finetuning paradigm for protein function prediction. However, finetuning a pretrained protein language model for diverse downstream tasks requires annotated protein data tailored to each task. To avoid the redundant individual finetuning, we propose a methodology that unifies various Protein function prediction tasks via Text Matching (named ProTeM). This method first transforms simple numeric or category labels from disparate protein datasets into textual descriptions, imbued with rich semantics. We then harness a pretrained large language model, which is proficient in comprehensive language understanding, to capture intrinsic interconnections among varied protein functions and facilitate the alignment between text and protein. During inference, we employ the paradigm of text matching to predict the protein functionalities. Extensive experiments demonstrate that ProTeM achieves performance on par with individually finetuned models, and outshines the model based on conventional multi-task learning. Moreover, ProTeM unveils an enhanced capacity for protein representation, surpassing state-of-the-art PLMs.",,,Unverified,"China,China,China,United Arab Emirates",,,"""During the Bio-LLM training process, we employ the LoRA finetuning technique ([7]), utilizing four NVIDIA V100-32G GPUs. The rank k in LoRA is configured as 8. We use the Adam optimizer with a batch size of 64 and a learning rate of 2e-4. When training ProTeM, we freeze the Bio-LLM and finetune the PLM only. The Adam learning rate is 2e-5 and a batch size of 10.""",,,"Academia,Academia,Academia",,,"Academia,Academia,Academia",,,,
